Scenario,Exp_ID,Solver,Data_Source,City_1_CFS_Area,City_1_Name,City_2_CFS_Area,City_2_Name,Seed,Sensitivity_Parameter,Sensitivity_Value,Sensitivity_Level,Status,Solve_Time_Sec,Time_Limit_Sec,Parameter_Category,Num_Orders,Total_Demand,Model_T,Model_t_0,Model_travel_time_periods,Model_N_manual,Model_N_auto,Model_capacity_manual,Model_capacity_auto,Model_cost_manual,Model_cost_auto,Model_penalty_lost,Model_service_a_1,Model_service_b_1,Model_service_a_2,Model_service_b_2,Model_direct_travel_time_periods,Model_capacity_direct,Model_cost_direct,Model_transfer_time_periods,Model_transfer_cost_per_unit,Model_direct_ratio_min,Model_direct_ratio_max,Algorithm_prediction_horizon,Algorithm_rolling_step,Algorithm_extension_horizon,Algorithm_priority_epsilon,Order_num_orders,Order_buffer_range,Order_large_order_prob,Order_small_quantity_range,Order_large_quantity_range,Total_Cost,Best_Bound,MIP_Gap,Unserved_Rate,Auto_Usage,Manual_Usage,Direct_Ratio,Direct_Volume,Transshipment_Volume,Message,Mechanism,Fleet_Scale,Source_Batch
simulation_stage_c_flexible_fleet_1,C_N100_S4101_P20p0_MF_F100,paper_candidate_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4101,,,,2,0.78,120,,100,1591,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,20.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2250.0,2250.0,0.0,0.0,0.0,9.0,1.0,1591.0,0.0,paper_candidate_mip 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4101_P20p0_MF_F100,paper_priority_heuristic,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4101,,,,2,0.96,120,,100,1591,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,20.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2250.0,2250.0,0.0,0.0,0.0,9.0,1.0,1591.0,0.0,paper_priority_heuristic 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P5p0_MF_F100,flexible_direct_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,3.73,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,5.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",1450.0,1450.0,0.0,0.0377,4.0,10.0,0.582745098,743.0,532.0,直送-换装协同模型达到最优；直送比例 58.27%,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P5p0_MF_F100,paper_candidate_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,0.8,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,5.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2250.0,2250.0,0.0,0.0,0.0,9.0,1.0,1325.0,0.0,paper_candidate_mip 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P5p0_MF_F100,paper_priority_heuristic,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,0.96,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,5.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2250.0,2250.0,0.0,0.0,0.0,9.0,1.0,1325.0,0.0,paper_priority_heuristic 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P10p0_MF_F100,flexible_direct_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,4.74,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,10.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",1600.0,1600.0,0.0,0.0,2.0,9.0,0.8671698113,1149.0,176.0,直送-换装协同模型达到最优；直送比例 86.72%,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P10p0_MF_F100,paper_candidate_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,0.82,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,10.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2250.0,2250.0,0.0,0.0,0.0,9.0,1.0,1325.0,0.0,paper_candidate_mip 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P10p0_MF_F100,paper_priority_heuristic,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,0.99,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,10.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2500.0,2500.0,0.0,0.0,0.0,10.0,1.0,1325.0,0.0,paper_priority_heuristic 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P15p0_MF_F100,flexible_direct_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,3.79,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,15.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",1600.0,1600.0,0.0,0.0,2.0,9.0,0.9275471698,1229.0,96.0,直送-换装协同模型达到最优；直送比例 92.75%,flexible,1.0,C_PEN100
simulation_stage_c_flexible_fleet_1,C_N100_S4102_P15p0_MF_F100,paper_candidate_mip,real,06-348,"Los Angeles-Long Beach, CA",06-488,"San Jose-San Francisco-Oakland, CA",4102,,,,2,0.83,120,,100,1325,24,60.0,9,"{""1"": 30, ""2"": 30}","{""1"": 15, ""2"": 15}",1000.0,2000.0,20.0,15.0,15.0,0.05,0.1,0.05,0.1,9,1000.0,25.0,0,0.0,0.0,1.0,8,2,6,1e-06,100,"[0, 5]",0.3,"[10, 50]","[100, 300]",2500.0,2500.0,0.0,0.0,0.0,10.0,1.0,1325.0,0.0,paper_candidate_mip 完成 12 个论文滚动窗口。,flexible,1.0,C_PEN100
